,0,1,2,3,4,5,6,7,8,9,10,11
451,CHO_1,RIC_2,MYR_3,RIC_4,MYR_5,RIC_6,CHO_7,ROA_8,,,,
452,RIC_3,ROA_4,RIC_5,CHO_6,RIC_7,CHO_8,ROA_9,CHO_10,,,,
453,ROA_8,RIC_9,ROA_10,,,,,,,,,
454,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,,
455,ROA_4,RIC_5,ROA_6,RIC_7,CHO_8,RIC_9,CHO_10,ROA_11,,,,
456,ROA_6,RIC_7,CHO_8,RIC_9,,,,,,,,
457,CHS_9,CAE_10,CHS_11,CAE_12,,,,,,,,
458,CHO_3,RIC_4,ROA_5,RIC_6,ROA_7,CHO_8,RIC_9,ROA_10,,,,
459,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,,,,,,,
460,CAE_9,CHS_10,CAE_11,CHS_12,CAE_13,,,,,,,
461,GSP_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,GSP_11,CHS_12,CAE_13,,,
462,CHS_9,CAE_10,CHS_11,CAE_12,,,,,,,,
463,ROA_10,RIC_11,CHO_12,,,,,,,,,
464,RIC_4,ROA_5,,,,,,,,,,
465,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,,
466,ROA_4,RIC_5,CHO_6,,,,,,,,,
467,CAE_2,CHS_3,CAE_4,CHS_5,CAE_6,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13
468,CHS_7,GSP_8,CHS_9,CAE_10,,,,,,,,
469,CHO_3,RIC_4,GSP_5,CHS_6,GSP_7,CHS_8,CAE_9,CHS_10,CAE_11,,,
470,RIC_9,ROA_10,RIC_11,ROA_12,,,,,,,,
471,ROA_3,RIC_4,,,,,,,,,,
472,CHO_8,ROA_9,RIC_10,,,,,,,,,
473,RIC_9,ROA_10,,,,,,,,,,
474,ROA_8,CHO_9,ROA_10,RIC_11,CHO_12,ROA_13,,,,,,
475,RIC_8,CHO_9,ROA_10,RIC_11,ROA_12,,,,,,,
476,CHS_9,CAE_10,CHS_11,CAE_12,,,,,,,,
477,ROA_3,RIC_4,MYR_5,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,,,,
478,ROA_9,RIC_10,ROA_11,RIC_12,,,,,,,,
479,RIC_10,ROA_11,RIC_12,,,,,,,,,
480,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,
481,CAE_4,GSP_5,CHS_6,GSP_7,CHS_8,GSP_9,CHS_10,GSP_11,,,,
482,CHO_4,RIC_5,CHO_6,RIC_7,,,,,,,,
483,RIC_10,ROA_11,RIC_12,CHO_13,,,,,,,,
484,RIC_10,ROA_11,RIC_12,,,,,,,,,
485,CAE_3,CHS_4,CAE_5,CHS_6,GSP_7,,,,,,,
486,CHS_3,CAE_4,CHS_5,CAE_6,CHS_7,GSP_8,CHS_9,CAE_10,CHS_11,,,
487,GSP_10,CHS_11,CAE_12,,,,,,,,,
488,CHO_4,ROA_5,,,,,,,,,,
489,CHS_8,CAE_9,,,,,,,,,,
490,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,CHO_12,RIC_13,,,,,
491,RIC_4,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,,,,,,
492,CHO_6,RIC_7,,,,,,,,,,
493,CAE_10,CHS_11,,,,,,,,,,
494,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,,,,,,
495,RIC_7,ROA_8,,,,,,,,,,
496,ROA_6,RIC_7,ROA_8,CHO_9,RIC_10,ROA_11,RIC_12,,,,,
497,CHS_1,GSP_2,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,,,,,
498,CHS_8,CAE_9,CHS_10,,,,,,,,,
499,ROA_7,RIC_8,ROA_9,,,,,,,,,
500,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,CAE_11,CHS_12,CAE_13,,,,
501,ROA_10,RIC_11,ROA_12,,,,,,,,,
